inst,ep,ob,clash,type,text
<https://w3id.org/controverse/1>,Agony creates strain and sweat on the face,Agony creates strain and sweat on the face,No,<https://w3id.org/controverse#Sincerity>,The Beads upon the ForeheadBy homely Anguish strung.
<https://w3id.org/controverse/10>,A fighter pilot flies for honour and duty to his country,The airman does not care about honour but flies just for the pleasure of being in the sky,Yes,<https://w3id.org/controverse#Irony>,"Nor law, nor duty bade me fight,Nor public men, nor cheering crowds,A lonely impulse of delightDrove to this tumult in the clouds;"
<https://w3id.org/controverse/11>,"The author is saying that if the host will bring what he asked, he will dine well, since he has no money and things to offer him. ","The author is saying that if the host will bring what he asked, he will dine well, since he has no money and things to offer him. ",No,<https://w3id.org/controverse#Sincerity>,"Haec si, inquam, attuleris, venuste noster,cenabis bene; nam tui Catulliplenus sacculus est aranearum."
<https://w3id.org/controverse/12>,The poet is inviting his friend to dinner pretending to offer him a lot of things,"In reality, the poet is inviting his friend and he is asking him to bring with him what it is needed to have dinner",Yes,<https://w3id.org/controverse#Irony>,"Cenabis bene, mi Fabulle, apud mepaucis, si tibi di favent, diebus,si tecum attuleris bonam atque magnamcenam, non sine candida puellaet vino et sale et omnibus cachinnis."
<https://w3id.org/controverse/13>,"Comedian says he wants to change the world,and this should be through meaningful action",Comedian only tells jokes and does not make any meaningful changes,Yes,<https://w3id.org/controverse#Irony>,"Healing the world with comedyMaking a literal difference, metaphoricallyA Jew walks into a bar, and I've saved him a seatThat's healing the world with comedy"
<https://w3id.org/controverse/14>,Someone who is failing at love should feel sad about it,The fact that they are failing in love is actually funny to them,Yes,<https://w3id.org/controverse#Irony>,"And mother doesn't get the jokeWhere I want love and I get noneI cried for weeks when the last one leftOh, isn't that hilarious?I guess it's sad from the outside inBut it's so funny, it's so funny to me"
<https://w3id.org/controverse/15>,"Dante delivers a bitter accusation against Italy, divided and corrupt; he compares it to a rudderless ship and a degraded homeland, unable to preserve its dignity.","Dante delivers a bitter accusation against Italy, divided and corrupt; he compares it to a rudderless ship and a degraded homeland, unable to preserve its dignity.",No,<https://w3id.org/controverse#Sincerity>,"Ahi serva Italia, di dolore ostello,nave sanza nocchiere in gran tempesta,non donna di provincie, ma bordello!"
<https://w3id.org/controverse/16>,It looks like the author is praising Florence,The author is actually resenting the city's actions,Yes,<https://w3id.org/controverse#Irony>,"Fiorenza mia, ben puoi esser contentadi questa digression che non ti tocca,mercé del popol tuo che si argomenta."
<https://w3id.org/controverse/17>,"The artists express genuine appreciation for their success, to their fans but also to the haters who motivated them to prove them wrong.","The artists express genuine appreciation for their success, to their fans but also to the haters who motivated them to prove them wrong.",No,<https://w3id.org/controverse#Sincerity>,"여지껏 무시해줘 고맙다덕분에 스타디움, 돔, 빌보드많은 것을 덕분에 많이도 얻었다"
<https://w3id.org/controverse/18>,"People are always ready to criticize you, especially online, insulting and saying 'ddaeng' (slang for 'wrong!' in korean).",They flip the insult 'ddaeng' back at their critics with genius wordplay and rythmical onomatopeia; showing how the same word can have different meanings like 'invincible' in a korean card game and that's how the artists make the haters' words seem useless.,Yes,<https://w3id.org/controverse#Irony>,"힙합? 땡Rap style? 땡걍 랩퍼, 땡방탄, 땡 [...] 일팔, 일삼, 삼팔, 땡You wrong, me right, 잘 봐 땡학교종 울려라, brr, brr, 땡야 이번 생은 글렀어, 넌 땡"
<https://w3id.org/controverse/19>,"The regime is destroying “books with harmful knowledge,” meaning works considered dangerous or oppositional.","The regime is destroying “books with harmful knowledge,” meaning works considered dangerous or oppositional.",No,<https://w3id.org/controverse#Sincerity>,"Als das Regime befahl, Bücher mit schädlichem Wissenöffentlich zu verbrennen und überallOchsen gezwungen wurden, Karren mit Büchern zu den Scheiterhaufen zu ziehen,entdeckte ein verjagter Dichter, einer der besten,die Liste der Verurteilten,entsetzt, dass seine Bücher vergessen waren."
<https://w3id.org/controverse/2>,"Agony is something we feel negatively about, and because of this we tend to not like seeing others in Agony",The speaker says she likes Agony because it can't be faked and therefore it is something you can trust to be true,Yes,<https://w3id.org/controverse#Irony>,"I like a look of Agony,Because I know it's true -"
<https://w3id.org/controverse/20>,A poet usually doesn't want his books to be burnt,"The poet feels insulted that his books weren’t banned, because being condemned by a corrupt regime would confirm his integrity.",Yes,<https://w3id.org/controverse#Irony>,"Verbrennt mich! schrieb er mit fliegender Feder, verbrennt mich!Tut mir das nicht an! Laßt mich nicht übrig! Habe ich nichtImmer die Wahrheit berichtet in meinen Büchern? Und jetztWerd ich von euch wie ein Lügner behandelt!"
<https://w3id.org/controverse/21>,Those who murder in life will be forever condemned even after death,Those who murder in life will be forever condemned even after death,No,<https://w3id.org/controverse#Sincerity>,"y las venenosas zarzas pisaQue roen como tòsigos las plantasDel criminal, en el dominio lòbregoDonde andan sin cesar los asesinos!"
<https://w3id.org/controverse/22>,"Being a hater is a negative thing, that shouldn't be celebrated",The speaker relishes in the idea of being a hater,Yes,<https://w3id.org/controverse#Irony>,I love the way it feels to be a haterSomething so sweet about thinking that I'm better
<https://w3id.org/controverse/23>,"In the tavern, people forget mortality and responsibilities, focusing only on gambling and pleasure.","In the tavern, people forget mortality and responsibilities, focusing only on gambling and pleasure.",No,<https://w3id.org/controverse#Sincerity>,"In taberna quando sumus,non curamus quid sit humus,sed ad ludum properamus,cui semper insudamus."
<https://w3id.org/controverse/24>,Members of clergy shouldn't drink,Members of clergy are drinking,Yes,<https://w3id.org/controverse#Irony>,"bibit presul et decanus,bibit soror, bibit frater"
<https://w3id.org/controverse/25>,The ironic situations remind us how unpredictable life can be.,The ironic situations remind us how unpredictable life can be.,No,<https://w3id.org/controverse#Sincerity>,"Well, life has a funny way of sneaking up on youWhen you think everything's okay and everything's going rightAnd life has a funny way of helping you outWhen you think everything's gone wrongAnd everything blows up in your face"
<https://w3id.org/controverse/26>,The song is called 'Ironic' and the lyrics present several ironic situations.,A song called “Ironic” isn’t filled with ironies. The central theme is frustration with life's unfair twists.,Yes,<https://w3id.org/controverse#Irony>,"Mr. Play-It-Safe was afraid to flyHe packed his suitcase and kissed his kids goodbyeHe waited his whole damn life to take that flightAnd as the plane crashed downHe thought, 'Well, isn't this nice?'"
<https://w3id.org/controverse/27>,Being a king means you move and behave in a regal manner,"The speaker calls the albatross the king of the sky, but that also means the bird is ugly and awkward on the ground",Yes,<https://w3id.org/controverse#Irony>,"À peine les ont-ils déposés sur les planches,Que ces rois de l'azur, maladroits et honteux,Laissent piteusement leurs grandes ailes blanchesComme des avirons traîner à côté d'eux."
<https://w3id.org/controverse/28>,Being sexually attacked by a giant swan would be a very terrifying experience,Being sexually attacked by a giant swan would be a very terrifying experience,No,<https://w3id.org/controverse#Sincerity>,How can those terrified vague fingers pushThe feathered glory from her loosening thighs?
<https://w3id.org/controverse/29>,The author compares the traditional artist and the modern wannabe “artist” It compares classical painting (“oil on canvas”) with physical training (“oil on muscles”) and the real world of models with the virtual solitude of nights spent at the computer.,The author compares the traditional artist and the modern wannabe “artist” It compares classical painting (“oil on canvas”) with physical training (“oil on muscles”) and the real world of models with the virtual solitude of nights spent at the computer.,No,<https://w3id.org/controverse#Sincerity>,"Lui olio su tela, e creò dipintiTu olio su muscoli, e gare di body buildingLui paesane, modelle, prostituteTu passi le notti nel letto con il computer"
<https://w3id.org/controverse/3>,Every year everybody has to have in mind to go to the cemitery on the 2nd of November,Every year everybody has to have in mind to go to the cemitery on the 2nd of November,No,<https://w3id.org/controverse#Sincerity>,"Ogn'anno, il due novembre, c'è l'usanza per i defunti andare al Cimitero. Ognuno ll'adda fà chesta crianza; ognuno adda tené chistu penziero."
<https://w3id.org/controverse/30>,The author is saying that the listener is not Van Gogh,"The author really means that the listener is crazy, while Van Gogh is not. ",Yes,<https://w3id.org/controverse#Irony>,"Tu sei pazzo, mica Van Gogh"
<https://w3id.org/controverse/31>,Now I lay me down to sleep is the start to a common prayer which prays for the soul even after death,The child does not pray for their soul but for their toys to break so that no one can use them after they die,Yes,<https://w3id.org/controverse#Irony>,"And if I die before I wake,I pray the Lord my toys to break.So none of the other kids can use ’em. . . .Amen."
<https://w3id.org/controverse/32>,The crow-tit and stork metaphor (a Korean idiom) is used to describe how younger generations are expected to compete equally with older ones despite unequal starting points.,The crow-tit and stork metaphor (a Korean idiom) is used to describe how younger generations are expected to compete equally with older ones despite unequal starting points.,No,<https://w3id.org/controverse#Sincerity>,"난 뱁새다리 (다리), 넌 황새다리 (새다리)걔넨 말하지, '내 다린 백만 불짜리' (불짜리)내 게 짧은데 어찌 같은 종목 하니? (What?)They say, '똑같은 초원이면 괜찮잖니' (Never, never, woo)"
<https://w3id.org/controverse/33>,As old generations say 'Work hard and you'll succeed!',The artists are ironically echoing what society preaches while showing how hollow it sounds to people struggling in real life.,Yes,<https://w3id.org/controverse#Irony>,"알바 가면 (가면, 가면) 열정페이 (Ayy)학교 가면 (가면, 가면) 선생님 (Shit, woo)상사들은 (No, woo, woo) 행패 (Yeah, yeah)언론에선 맨날 몇 포 세대 (Woo, bang) [...] 아, 노력, 노력 타령 좀 그만둬아, 오그라들어 내 두 손발도아, 노-노력, 아, 노-노력아, 노-노랗구나 싹수가 (역시 황새)"
<https://w3id.org/controverse/34>,"A statement of fear and emptiness, showing self-awareness about her dependence on noise, distraction, or substances to avoid introspection.","A statement of fear and emptiness, showing self-awareness about her dependence on noise, distraction, or substances to avoid introspection.",No,<https://w3id.org/controverse#Sincerity>,"I don't wanna be the girl that has to fill the silenceThe quiet scares me 'cause it screams the truthPlease don't tell me that we had that conversationI won't remember, save your breath 'cause what's the use?"
<https://w3id.org/controverse/35>,A person feeling great when using substances,"The person wishes to be able to achieve that 'good' feeling through authenticity and being present in her own life, without any external aid.",Yes,<https://w3id.org/controverse#Irony>,I'm safe up highNothing can touch meWhy do I feel this party's over?WhoahhhNo pain insideYou're like perfectionBut how do I feel this good sober?(How do I feel this good sober)
<https://w3id.org/controverse/36>,The song shows how warped the system has become with the economic divide and consumerism creating new forms of inequality.,The song shows how warped the system has become with the economic divide and consumerism creating new forms of inequality.,No,<https://w3id.org/controverse#Sincerity>,"21세기 계급은 반으로 딱 나눠져있는 자와 없는 자, 신은 자와 없는 자입은 자와 벗는 자, 또 기를 써서 얻는 자"
<https://w3id.org/controverse/37>,"Songs targeted at the youth typically take the side of young people, seing things from their persepctive",This song actually criticizes the youth and takes the side of their parents viewing the young people as 'spine breakers',Yes,<https://w3id.org/controverse#Irony>,"휘어지는 부모 등골을 봐도 넌 매몰차친구는 다 있다고 졸라대니 안 사줄 수도 없다고(Ayo baby) 철딱서니 없게 굴지 말어그깟 패딩 안 입는다고 얼어 죽진 않어패딩 안에 거위털을 채우기 전에니 머릿속 개념을 채우길, 늦기 전에"
<https://w3id.org/controverse/38>,"The gun range is a place to practice a dangerous skill not to shop for gifts, while the mall should be a place to shop free from danger",The space of the gun range is now just another comerical endevour and the mall is no longer to happy comercial utopia it may have set itself up to be and can just as easily become a space of violence,Yes,<https://w3id.org/controverse#Irony>,"A gift shop at the gun range, a mass shooting at the mall"
<https://w3id.org/controverse/39>,"The poet is writing a series of words, until he writes a sentence.","The poet is writing a series of words, until he writes a sentence.",No,<https://w3id.org/controverse#Sincerity>,"So I wrote you a word,and then another word,and another, and another,until I wrote you a sentence."
<https://w3id.org/controverse/4>,Dead people shouldn't care about where they are buried,Two dead people are fighting cause the richer one wants to be far away from the poorer man.,Yes,<https://w3id.org/controverse#Irony>,"<<Lurido porco! Come ti permetti paragonarti a me ch’ebbi natali illustri, nobilissimi e perfetti, da fare invidia a Principi Reali?>>  <<tu qua’ nòatale, Pasca e Pifanìa!!! T’o vvuo’ mettere ‘ncapo, ‘int’a cervella che staje malato ancora ‘e fantasia? ‘A morte ‘o ssaje ched’è? E’ ‘na livella:  ‘nu rre, ‘nu maggistrato, ‘nu grand’ommo, trasenno ‘stu canciello ha fatt’o punto c’ha perzo tutto, ‘a vita e pur’o nomme. Tu nun t’he’ fatto ancora chistu cunto?  Perciò, stamme a ssentì, nun fa’ ‘o restivo, suppuorteme vicino, che te ‘mporta? ‘Sti ppagliacciate ‘e ffanno sul’e vive: nuje simme serje… appartenimmo a morte!>"
<https://w3id.org/controverse/40>,You would expect a climax,The poem comes back where it started,Yes,<https://w3id.org/controverse#Irony>,I wrote you a letter [...] until I wrote you a letter
<https://w3id.org/controverse/41>,"The singer reflects honestly on feeling lost, unfulfilled, and frustrated with adulthood despite following all the “right” paths.","The singer reflects honestly on feeling lost, unfulfilled, and frustrated with adulthood despite following all the “right” paths.",No,<https://w3id.org/controverse#Sincerity>,ちっちゃな頃から優等生気づいたら大人になっていたナイフの様な思考回路持ち合わせる訳もなくでも遊び足りない 何か足りない困っちまうこれは誰かのせいあてもなくただ混乱するエイデイ
<https://w3id.org/controverse/42>,Following the rules of society and the path they chose for you will make you successfull and a proper worker contributing to society. ,You are tired and not the successfull person they promised you'll be. Instead of an office worker you are working part time jobs; drinking; and competing with other people that were promised the same thing.,Yes,<https://w3id.org/controverse#Irony>,「 最新の流行は当然の把握経済の動向も通勤時チェック純情な精神で入社しワーク社会人じゃ当然のルールです [..]クソだりぃな酒が空いたグラスあれば直ぐに注ぎなさい皆がつまみ易いように串外しなさい会計や注文は先陣を切る不文律最低限のマナーです 」
<https://w3id.org/controverse/5>,"The author describes his lover faithfully, as every poet does. ","The author describes his lover faithfully, as every poet does. ",No,<https://w3id.org/controverse#Sincerity>,"You are like a thing that issimple, natural, and true,like the bread and the wine,like the sun and the air."
<https://w3id.org/controverse/6>,The poet seems to insult the wife because he is comparing her to any kind of animal,"The poet describes his wife like other poets do, but in a reversed way: instead of comparing her to noble or idealized creatures, he likens her to simple, everyday animals. In reality, he is describing her as if he was a child, with pure and innocent love.",Yes,<https://w3id.org/controverse#Irony>,"Tu sei come una giovaneuna bianca pollastra.Le si arruffano al ventole piume, il collo chinaper bere, e in terra raspa;ma, nell'andare, ha il lentotuo passo di regina,ed incede sull'erbapettoruta e superba. [...]"
<https://w3id.org/controverse/7>,The author's life is messy and he asks the listener about his situation.,The author's life is messy and he asks the listener about his situation.,No,<https://w3id.org/controverse#Sincerity>,"My world's on fire, how 'bout yours?That's the way I like it, and I'll never get bored"
<https://w3id.org/controverse/8>,Cool is a quality of the place,Cool refers to the temperature,Yes,<https://w3id.org/controverse#Irony>,"It's a cool place, and they say it gets colder"
<https://w3id.org/controverse/9>,"In the face of death, everything about life can seem meaningless","In the face of death, everything about life can seem meaningless",No,<https://w3id.org/controverse#Sincerity>,"The years to come seemed waste of breath,/A waste of breath the years behind/In balance with this life, this death."
