inst,title,text,ironyCategory,ironyType,target,targetDesc
<https://w3id.org/controverse/10>,An Irish Airman forsees his death,"Nor law, nor duty bade me fight,Nor public men, nor cheering crowds,A lonely impulse of delightDrove to this tumult in the clouds;",<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#StateOfAffair>,The british control of ireland leading irish soldiers to have to fight for a country that isn't theirs
<https://w3id.org/controverse/12>,Carme 13,"Cenabis bene, mi Fabulle, apud mepaucis, si tibi di favent, diebus,si tecum attuleris bonam atque magnamcenam, non sine candida puellaet vino et sale et omnibus cachinnis.",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#IngenuIrony>,<https://w3id.org/controverse#StateOfAffair>,The poet makes fun of the poor situation he is in but still invites his friend in a ironic way
<https://w3id.org/controverse/13>,Comedy,"Healing the world with comedyMaking a literal difference, metaphoricallyA Jew walks into a bar, and I've saved him a seatThat's healing the world with comedy",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#SelfDisparagingIrony>,<https://w3id.org/controverse#Concept>,Performative activism
<https://w3id.org/controverse/14>,Comedy,"And mother doesn't get the jokeWhere I want love and I get noneI cried for weeks when the last one leftOh, isn't that hilarious?I guess it's sad from the outside inBut it's so funny, it's so funny to me",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#SelfDisparagingIrony>,<https://w3id.org/controverse#Concept>,Heartbreak
<https://w3id.org/controverse/16>,Dante's canto VI ,"Fiorenza mia, ben puoi esser contentadi questa digression che non ti tocca,mercé del popol tuo che si argomenta.",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Community>,Florence's politicians
<https://w3id.org/controverse/18>,Ddaeng (땡),"힙합? 땡Rap style? 땡걍 랩퍼, 땡방탄, 땡 [...] 일팔, 일삼, 삼팔, 땡You wrong, me right, 잘 봐 땡학교종 울려라, brr, brr, 땡야 이번 생은 글렀어, 넌 땡",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Community>,Haters
<https://w3id.org/controverse/2>,241 - I like a look of Agony,"I like a look of Agony,Because I know it's true -",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Concept>,Human nature - and the tendancy to not say what you mean
<https://w3id.org/controverse/20>,Die Bücherverbrennung,"Verbrennt mich! schrieb er mit fliegender Feder, verbrennt mich!Tut mir das nicht an! Laßt mich nicht übrig! Habe ich nichtImmer die Wahrheit berichtet in meinen Büchern? Und jetztWerd ich von euch wie ein Lügner behandelt!",<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Institution>,Book burning
<https://w3id.org/controverse/22>,Hater's Anthem,I love the way it feels to be a haterSomething so sweet about thinking that I'm better,<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#SelfDisparagingIrony>,<https://w3id.org/controverse#Community>,Haters
<https://w3id.org/controverse/24>,In Taberna quando sumus,"bibit presul et decanus,bibit soror, bibit frater",<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Institution>,Clergy
<https://w3id.org/controverse/26>,Ironic,"Mr. Play-It-Safe was afraid to flyHe packed his suitcase and kissed his kids goodbyeHe waited his whole damn life to take that flightAnd as the plane crashed downHe thought, 'Well, isn't this nice?'",<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Concept>,Life
<https://w3id.org/controverse/27>,L'Albatros,"À peine les ont-ils déposés sur les planches,Que ces rois de l'azur, maladroits et honteux,Laissent piteusement leurs grandes ailes blanchesComme des avirons traîner à côté d'eux.",<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfSimpleIncongruency>,<https://w3id.org/controverse#Self>,The poet is refering to himself
<https://w3id.org/controverse/30>,Mica Van Gogh ,"Tu sei pazzo, mica Van Gogh",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Person>,The listener
<https://w3id.org/controverse/31>,Prayer of the Selfish Child,"And if I die before I wake,I pray the Lord my toys to break.So none of the other kids can use ’em. . . .Amen.",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Concept>,Selfishness
<https://w3id.org/controverse/33>,Silver Spoon (Bapsae=Crow-tit/뱁새),"알바 가면 (가면, 가면) 열정페이 (Ayy)학교 가면 (가면, 가면) 선생님 (Shit, woo)상사들은 (No, woo, woo) 행패 (Yeah, yeah)언론에선 맨날 몇 포 세대 (Woo, bang) [...] 아, 노력, 노력 타령 좀 그만둬아, 오그라들어 내 두 손발도아, 노-노력, 아, 노-노력아, 노-노랗구나 싹수가 (역시 황새)",<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Community>,Generational Inequality
<https://w3id.org/controverse/35>,Sober,I'm safe up highNothing can touch meWhy do I feel this party's over?WhoahhhNo pain insideYou're like perfectionBut how do I feel this good sober?(How do I feel this good sober),<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfSelfBetrayal>,<https://w3id.org/controverse#Concept>,Internal Conflict
<https://w3id.org/controverse/37>,Spine Breaker (척추브레이커),"휘어지는 부모 등골을 봐도 넌 매몰차친구는 다 있다고 졸라대니 안 사줄 수도 없다고(Ayo baby) 철딱서니 없게 굴지 말어그깟 패딩 안 입는다고 얼어 죽진 않어패딩 안에 거위털을 채우기 전에니 머릿속 개념을 채우길, 늦기 전에",<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfSelfBetrayal>,<https://w3id.org/controverse#Concept>,Consumerism and Fashion Trends
<https://w3id.org/controverse/38>,That Funny Feeling,"A gift shop at the gun range, a mass shooting at the mall",<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfSimpleIncongruency>,<https://w3id.org/controverse#Concept>,Late-stage capitalism
<https://w3id.org/controverse/4>,A livella ,"<<Lurido porco! Come ti permetti paragonarti a me ch’ebbi natali illustri, nobilissimi e perfetti, da fare invidia a Principi Reali?>>  <<tu qua’ nòatale, Pasca e Pifanìa!!! T’o vvuo’ mettere ‘ncapo, ‘int’a cervella che staje malato ancora ‘e fantasia? ‘A morte ‘o ssaje ched’è? E’ ‘na livella:  ‘nu rre, ‘nu maggistrato, ‘nu grand’ommo, trasenno ‘stu canciello ha fatt’o punto c’ha perzo tutto, ‘a vita e pur’o nomme. Tu nun t’he’ fatto ancora chistu cunto?  Perciò, stamme a ssentì, nun fa’ ‘o restivo, suppuorteme vicino, che te ‘mporta? ‘Sti ppagliacciate ‘e ffanno sul’e vive: nuje simme serje… appartenimmo a morte!>",<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#IngenuIrony>,<https://w3id.org/controverse#Community>,The rich
<https://w3id.org/controverse/40>,The Letter,I wrote you a letter [...] until I wrote you a letter,<https://w3id.org/controverse#VerbalIrony>,<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Thing>,Letter
<https://w3id.org/controverse/42>,Usseewa (うっせぇわ),「 最新の流行は当然の把握経済の動向も通勤時チェック純情な精神で入社しワーク社会人じゃ当然のルールです [..]クソだりぃな酒が空いたグラスあれば直ぐに注ぎなさい皆がつまみ易いように串外しなさい会計や注文は先陣を切る不文律最低限のマナーです 」,<https://w3id.org/controverse#SituationalIrony>,<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Concept>,Japanese society's 'Common sense'
