title,text,ironyType,target,targetDesc
An Irish Airman forsees his death,"Nor law, nor duty bade me fight,Nor public men, nor cheering crowds,A lonely impulse of delightDrove to this tumult in the clouds;",<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#StateOfAffair>,The british control of ireland leading irish soldiers to have to fight for a country that isn't theirs
Carme 13,"Cenabis bene, mi Fabulle, apud mepaucis, si tibi di favent, diebus,si tecum attuleris bonam atque magnamcenam, non sine candida puellaet vino et sale et omnibus cachinnis.",<https://w3id.org/controverse#IngenuIrony>,<https://w3id.org/controverse#StateOfAffair>,The poet makes fun of the poor situation he is in but still invites his friend in a ironic way
Comedy,"Healing the world with comedyMaking a literal difference, metaphoricallyA Jew walks into a bar, and I've saved him a seatThat's healing the world with comedy",<https://w3id.org/controverse#SelfDisparagingIrony>,<https://w3id.org/controverse#Concept>,Performative activism
Comedy,"And mother doesn't get the jokeWhere I want love and I get noneI cried for weeks when the last one leftOh, isn't that hilarious?I guess it's sad from the outside inBut it's so funny, it's so funny to me",<https://w3id.org/controverse#SelfDisparagingIrony>,<https://w3id.org/controverse#Concept>,Heartbreak
Dante's canto VI ,"Fiorenza mia, ben puoi esser contentadi questa digression che non ti tocca,mercé del popol tuo che si argomenta.",<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Community>,Florence's politicians
Ddaeng (땡),"힙합? 땡Rap style? 땡걍 랩퍼, 땡방탄, 땡 [...] 일팔, 일삼, 삼팔, 땡You wrong, me right, 잘 봐 땡학교종 울려라, brr, brr, 땡야 이번 생은 글렀어, 넌 땡",<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Community>,Haters
241 - I like a look of Agony,"I like a look of Agony,Because I know it's true -",<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Concept>,Human nature - and the tendancy to not say what you mean
Die Bücherverbrennung,"Verbrennt mich! schrieb er mit fliegender Feder, verbrennt mich!Tut mir das nicht an! Laßt mich nicht übrig! Habe ich nichtImmer die Wahrheit berichtet in meinen Büchern? Und jetztWerd ich von euch wie ein Lügner behandelt!",<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Institution>,Book burning
Hater's Anthem,I love the way it feels to be a haterSomething so sweet about thinking that I'm better,<https://w3id.org/controverse#SelfDisparagingIrony>,<https://w3id.org/controverse#Community>,Haters
In Taberna quando sumus,"bibit presul et decanus,bibit soror, bibit frater",<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Institution>,Clergy
Ironic,"Mr. Play-It-Safe was afraid to flyHe packed his suitcase and kissed his kids goodbyeHe waited his whole damn life to take that flightAnd as the plane crashed downHe thought, 'Well, isn't this nice?'",<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Concept>,Life
L'Albatros,"À peine les ont-ils déposés sur les planches,Que ces rois de l'azur, maladroits et honteux,Laissent piteusement leurs grandes ailes blanchesComme des avirons traîner à côté d'eux.",<https://w3id.org/controverse#IronyOfSimpleIncongruency>,<https://w3id.org/controverse#Self>,The poet is refering to himself
Mica Van Gogh ,"Tu sei pazzo, mica Van Gogh",<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Person>,The listener
Prayer of the Selfish Child,"And if I die before I wake,I pray the Lord my toys to break.So none of the other kids can use ’em. . . .Amen.",<https://w3id.org/controverse#ImpersonalIrony>,<https://w3id.org/controverse#Concept>,Selfishness
Silver Spoon (Bapsae=Crow-tit/뱁새),"알바 가면 (가면, 가면) 열정페이 (Ayy)학교 가면 (가면, 가면) 선생님 (Shit, woo)상사들은 (No, woo, woo) 행패 (Yeah, yeah)언론에선 맨날 몇 포 세대 (Woo, bang) [...] 아, 노력, 노력 타령 좀 그만둬아, 오그라들어 내 두 손발도아, 노-노력, 아, 노-노력아, 노-노랗구나 싹수가 (역시 황새)",<https://w3id.org/controverse#IronyOfEvents>,<https://w3id.org/controverse#Community>,Generational Inequality
Sober,I'm safe up highNothing can touch meWhy do I feel this party's over?WhoahhhNo pain insideYou're like perfectionBut how do I feel this good sober?(How do I feel this good sober),<https://w3id.org/controverse#IronyOfSelfBetrayal>,<https://w3id.org/controverse#Concept>,Internal Conflict
Spine Breaker (척추브레이커),"휘어지는 부모 등골을 봐도 넌 매몰차친구는 다 있다고 졸라대니 안 사줄 수도 없다고(Ayo baby) 철딱서니 없게 굴지 말어그깟 패딩 안 입는다고 얼어 죽진 않어패딩 안에 거위털을 채우기 전에니 머릿속 개념을 채우길, 늦기 전에",<https://w3id.org/controverse#IronyOfSelfBetrayal>,<https://w3id.org/controverse#Concept>,Consumerism and Fashion Trends
That Funny Feeling,"A gift shop at the gun range, a mass shooting at the mall",<https://w3id.org/controverse#IronyOfSimpleIncongruency>,<https://w3id.org/controverse#Concept>,Late-stage capitalism
