title,text,target,targetDesc
241 - I like a look of Agony,The Beads upon the ForeheadBy homely Anguish strung.,<https://w3id.org/controverse#Concept>,Human nature
Carme 13,"Haec si, inquam, attuleris, venuste noster,cenabis bene; nam tui Catulliplenus sacculus est aranearum.",<https://w3id.org/controverse#StateOfAffair>,The poverty of the author
Dante's canto VI ,"Ahi serva Italia, di dolore ostello,nave sanza nocchiere in gran tempesta,non donna di provincie, ma bordello!",<https://w3id.org/controverse#Institution>,The italian governments
Ddaeng (땡),"여지껏 무시해줘 고맙다덕분에 스타디움, 돔, 빌보드많은 것을 덕분에 많이도 얻었다",<https://w3id.org/controverse#Community>,Haters
Die Bücherverbrennung,"Als das Regime befahl, Bücher mit schädlichem Wissenöffentlich zu verbrennen und überallOchsen gezwungen wurden, Karren mit Büchern zu den Scheiterhaufen zu ziehen,entdeckte ein verjagter Dichter, einer der besten,die Liste der Verurteilten,entsetzt, dass seine Bücher vergessen waren.",<https://w3id.org/controverse#Institution>,The Nazist regime
El Padre Suizo,"y las venenosas zarzas pisaQue roen como tòsigos las plantasDel criminal, en el dominio lòbregoDonde andan sin cesar los asesinos!",<https://w3id.org/controverse#StateOfAffair>,Murder
In Taberna quando sumus,"In taberna quando sumus,non curamus quid sit humus,sed ad ludum properamus,cui semper insudamus.",<https://w3id.org/controverse#StateOfAffair>,Playing and betting in the tavern
Ironic,"Well, life has a funny way of sneaking up on youWhen you think everything's okay and everything's going rightAnd life has a funny way of helping you outWhen you think everything's gone wrongAnd everything blows up in your face",<https://w3id.org/controverse#Concept>,Life
Leda and the Swan,How can those terrified vague fingers pushThe feathered glory from her loosening thighs?,<https://w3id.org/controverse#StateOfAffair>,Sexual violence
Mica Van Gogh ,"Lui olio su tela, e creò dipintiTu olio su muscoli, e gare di body buildingLui paesane, modelle, prostituteTu passi le notti nel letto con il computer",<https://w3id.org/controverse#Person>,"The listener, which is not a real artist but pretends to be one"
A livella ,"Ogn'anno, il due novembre, c'è l'usanza per i defunti andare al Cimitero. Ognuno ll'adda fà chesta crianza; ognuno adda tené chistu penziero.",<https://w3id.org/controverse#Community>,The use of going to the cemetery on the 2nd of November
Silver Spoon (Bapsae=Crow-tit/뱁새),"난 뱁새다리 (다리), 넌 황새다리 (새다리)걔넨 말하지, '내 다린 백만 불짜리' (불짜리)내 게 짧은데 어찌 같은 종목 하니? (What?)They say, '똑같은 초원이면 괜찮잖니' (Never, never, woo)",<https://w3id.org/controverse#Community>,Generational Inequality
Sober,"I don't wanna be the girl that has to fill the silenceThe quiet scares me 'cause it screams the truthPlease don't tell me that we had that conversationI won't remember, save your breath 'cause what's the use?",<https://w3id.org/controverse#Concept>,Internal Conflict
Spine Breaker (척추브레이커),"21세기 계급은 반으로 딱 나눠져있는 자와 없는 자, 신은 자와 없는 자입은 자와 벗는 자, 또 기를 써서 얻는 자",<https://w3id.org/controverse#Concept>,Consumerism and Fashion Trends
The Letter,"So I wrote you a word,and then another word,and another, and another,until I wrote you a sentence.",<https://w3id.org/controverse#Person>,The author's lover
Usseewa (うっせぇわ),ちっちゃな頃から優等生気づいたら大人になっていたナイフの様な思考回路持ち合わせる訳もなくでも遊び足りない 何か足りない困っちまうこれは誰かのせいあてもなくただ混乱するエイデイ,<https://w3id.org/controverse#Concept>,Japanese society's 'Common sense'
A mia moglie,"You are like a thing that issimple, natural, and true,like the bread and the wine,like the sun and the air.",<https://w3id.org/controverse#Person>,The poet's wife
All Star,"My world's on fire, how 'bout yours?That's the way I like it, and I'll never get bored",<https://w3id.org/controverse#Thing>,The life of the author
An Irish Airman forsees his death,"The years to come seemed waste of breath,/A waste of breath the years behind/In balance with this life, this death.",<https://w3id.org/controverse#Concept>,The meaning and purpose of life
